,Name1,GHR-webpage1,frequency1,Description1,,Inheritance-pattern1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",126885006,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",255108000,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,related-gene-list,,,,"SNOMED CT",399326009,,,,,,
188,"Blau syndrome",https://ghr.nlm.nih.gov/condition/blau-syndrome,"Although Blau syndrome appears to be uncommon, its prevalence is unknown.",html:p,"Blau syndrome is an inflammatory disorder that primarily affects the skin,",ad,"autosomal dominant",,NOD2,https://ghr.nlm.nih.gov/gene/NOD2,"arthrocutaneouveal granulomatosis",db,key,2017-12,2017-12-29,,,,
,,,,,"joints, and eyes. Signs and symptoms begin in childhood, usually before age 4.",,,,,,"early-onset sarcoidosis",GTR,C1836122,,,,,,
,,,,html:p,"A form of skin inflammation called granulomatous dermatitis is typically the",,,,,,"familial granulomatosis, Blau type",db,key,,,,,,
,,,,,"earliest sign of Blau syndrome. This skin condition causes a persistent rash",,,,,,"familial juvenile systemic granulomatosis",GTR,C1861303,,,,,,
,,,,,"that can be scaly or involve hard lumps (nodules) that can be felt under the",,,,,,"granulomatous inflammatory arthritis, dermatitis, and uveitis, familial",db,key,,,,,,
,,,,,"skin. The rash is usually found on the torso, arms, and legs.",,,,,,"pediatric granulomatous arthritis",MeSH,D012507,,,,,,
,,,,html:p,"Arthritis is another common feature of Blau syndrome. In affected individuals,",,,,,,,db,key,,,,,,
,,,,,"arthritis is characterized by inflammation of the lining of joints (the",,,,,,,OMIM,186580,,,,,,
,,,,,"synovium). This inflammation, known as synovitis, is associated with swelling",,,,,,,db,key,,,,,,
,,,,,"and joint pain. Synovitis usually begins in the joints of the hands, feet,",,,,,,,Orphanet,90340,,,,,,
,,,,,"wrists, and ankles. As the condition worsens, it can involve additional joints",,,,,,,db,key,,,,,,
,,,,,"and restrict movement by decreasing the range of motion in many joints.",,,,,,,"SNOMED CT",699861000,,,,,,
,,,,html:p,"Most people with Blau syndrome also develop uveitis, which is swelling and",,,,,,,,,,,,,,
,,,,,"inflammation of the middle layer of the eye (the uvea). The uvea includes the",,,,,,,,,,,,,,
,,,,,"colored portion of the eye (the iris) and related tissues that underlie the",,,,,,,,,,,,,,
,,,,,"white part of the eye (the sclera). Uveitis can cause eye irritation and pain,",,,,,,,,,,,,,,
,,,,,"increased sensitivity to bright light (photophobia), and blurred vision. Other",,,,,,,,,,,,,,
,,,,,"structures in the eye can also become inflamed, including the outermost",,,,,,,,,,,,,,
,,,,,"protective layer of the eye (the conjunctiva), the tear glands, the specialized",,,,,,,,,,,,,,
,,,,,"light-sensitive tissue that lines the back of the eye (the retina), and the",,,,,,,,,,,,,,
,,,,,"nerve that carries information from the eye to the brain (the optic nerve).",,,,,,,,,,,,,,
,,,,,"Inflammation of any of these structures can lead to severe vision impairment or",,,,,,,,,,,,,,
,,,,,blindness.,,,,,,,,,,,,,,
,,,,html:p,"Some individuals with Blau syndrome develop kidney disease (nephritis) due to",,,,,,,,,,,,,,
,,,,,"inflammation. They may also have deposits of calcium in the kidneys",,,,,,,,,,,,,,
,,,,,"(nephrocalcinosis) and often develop chronic kidney failure. Inflammation of",,,,,,,,,,,,,,
,,,,,"blood vessels (vasculitis) can cause scarring and tissue death in the vessels",,,,,,,,,,,,,,
,,,,,"and impedes blood flow to tissues and organs.",,,,,,,,,,,,,,
,,,,html:p,"Less commonly, Blau syndrome can affect other parts of the body, including the",,,,,,,,,,,,,,
,,,,,"liver, spleen, salivary gland, brain, blood vessels, lungs, and heart.",,,,,,,,,,,,,,
,,,,,"Inflammation involving these organs and tissues can impair their function and",,,,,,,,,,,,,,
,,,,,"cause life-threatening complications. Rarely, affected individuals have episodes",,,,,,,,,,,,,,
,,,,,"of fever or high blood pressure in the blood vessels that carry blood from the",,,,,,,,,,,,,,
,,,,,"heart to the lungs (pulmonary hypertension).",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
189,"Blepharocheilodontic syndrome",https://ghr.nlm.nih.gov/condition/blepharocheilodontic-syndrome,"BCD syndrome is a rare disorder; its prevalence is unknown. At least 50",html:p,"Blepharocheilodontic (BCD) syndrome is a disorder that is present at birth. It",ad,"autosomal dominant",,CDH1,https://ghr.nlm.nih.gov/gene/CDH1,"BCD syndrome",db,key,2017-08,2017-12-29,,,,
,,,"affected individuals have been described in the medical literature.",,"mainly affects the eyelids (blepharo-), upper lip (-cheilo-), and teeth",,,related-gene,gene-symbol,ghr-page,BCDS,MeSH,D000015,,,,,,
,,,,,(-dontic).,,,,CTNND1,https://ghr.nlm.nih.gov/gene/CTNND1,"blepharo-cheilo-dontic syndrome",db,key,,,,,,
,,,,html:p,"People with BCD syndrome have lower eyelids that turn out so that the inner",,,,,,"blepharo-cheilo-odontic syndrome",OMIM,119580,,,,,,
,,,,,"surface is exposed (ectropion). The outside of the lower lid may sag away from",,,,,,"clefting, ectropion, and conical teeth",db,key,,,,,,
,,,,,"the eye (euryblepharon), and the eyelids may not be able to close completely",,,,,,"ectropion, inferior, with cleft lip and/or palate","SNOMED CT",717911008,,,,,,
,,,,,"(lagophthalmia). There can be extra eyelashes (distichiasis) on the upper",,,,,,"Elschnig syndrome",,,,,,,,
,,,,,"eyelids, ranging from a few extra eyelashes to a full extra set. These eyelashes",,,,,,"lagophthalmia with bilateral cleft lip and palate",,,,,,,,
,,,,,"do not grow along the edge of the eyelid with the normal lashes, but out of its",,,,,,,,,,,,,,
,,,,,"inner lining. When the abnormal eyelashes touch the eyeball, they can cause",,,,,,,,,,,,,,
,,,,,"damage to the clear covering of the eye (cornea). Affected individuals may also",,,,,,,,,,,,,,
,,,,,"have widely spaced eyes (hypertelorism), a flat face, and a high forehead.",,,,,,,,,,,,,,
,,,,html:p,"Other features of BCD syndrome usually include openings on both sides of the",,,,,,,,,,,,,,
,,,,,"upper lip (bilateral cleft lip) and an opening in the roof of the mouth (cleft",,,,,,,,,,,,,,
,,,,,"palate). Affected individuals may have fewer teeth than normal (oligodontia) and",,,,,,,,,,,,,,
,,,,,"their teeth are often smaller than usual and cone-shaped. The dental",,,,,,,,,,,,,,
,,,,,"abnormalities affect both primary teeth (sometimes called ""baby teeth"") and",,,,,,,,,,,,,,
,,,,,"secondary (permanent) teeth. Other frequent features include sparse, fine hair",,,,,,,,,,,,,,
,,,,,"and abnormal nails.",,,,,,,,,,,,,,
,,,,html:p,"Occasionally people with BCD syndrome have additional features, including an",,,,,,,,,,,,,,
,,,,,"obstruction of the anal opening (imperforate anus); malformation or absence of",,,,,,,,,,,,,,
,,,,,"the butterfly-shaped gland in the lower neck called the thyroid, resulting in",,,,,,,,,,,,,,
,,,,,"lack of thyroid gland function; or fused fingers or toes (syndactyly). Very",,,,,,,,,,,,,,
,,,,,"rarely, affected individuals have incompletely formed arms or legs (limb",,,,,,,,,,,,,,
,,,,,"reduction defects) or a spinal cord abnormality known as spina bifida.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
190,"Blepharophimosis, ptosis, and epicanthus inversus syndrome (BPES)",https://ghr.nlm.nih.gov/condition/blepharophimosis-ptosis-and-epicanthus-inversus-syndrome,"The prevalence of BPES is unknown.",html:p,"Blepharophimosis, ptosis, and epicanthus inversus syndrome (BPES) is a condition",ad,"autosomal dominant",,FOXL2,https://ghr.nlm.nih.gov/gene/FOXL2,"blepharophimosis syndrome",db,key,2013-10,2017-12-29,,,,
,先天性瞼口狹小症,s-syndrome,,,"that mainly affects development of the eyelids. People with this condition have",,,,,,"blepharophimosis, ptosis, and epicanthus inversus",GTR,C0220663,,,,,,
,,,,,"a narrowing of the eye opening (blepharophimosis), droopy eyelids (ptosis), and",,,,,,BPES,db,key,,,,,,
,,,,,"an upward fold of the skin of the lower eyelid near the inner corner of the eye",,,,,,,GeneReviews,bpes,,,,,,
,,,,,"(epicanthus inversus). In addition, there is an increased distance between the",,,,,,,db,key,,,,,,
,,,,,"inner corners of the eyes (telecanthus). Because of these eyelid abnormalities,",,,,,,,MeSH,D005141,,,,,,
,,,,,"the eyelids cannot open fully, and vision may be limited.",,,,,,,db,key,,,,,,
,,,,html:p,"Other structures in the eyes and face may be mildly affected by BPES. Affected",,,,,,,OMIM,110100,,,,,,
,,,,,"individuals are at an increased risk of developing vision problems such as",,,,,,,db,key,,,,,,
,,,,,"nearsightedness (myopia) or farsightedness (hyperopia) beginning in childhood.",,,,,,,Orphanet,126,,,,,,
,,,,,"They may also have eyes that do not point in the same direction (strabismus) or",,,,,,,db,key,,,,,,
,,,,,"""lazy eye"" (amblyopia) affecting one or both eyes. People with BPES may also",,,,,,,"SNOMED CT",79833006,,,,,,
,,,,,"have distinctive facial features including a broad nasal bridge, low-set ears,",,,,,,,,,,,,,,
,,,,,"or a shortened distance between the nose and upper lip (a short philtrum).",,,,,,,,,,,,,,
,,,,html:p,"There are two types of BPES, which are distinguished by their signs and",,,,,,,,,,,,,,
,,,,,"symptoms. Both types I and II include the eyelid malformations and other facial",,,,,,,,,,,,,,
,,,,,"features. Type I is also associated with an early loss of ovarian function",,,,,,,,,,,,,,
,,,,,"(primary ovarian insufficiency) in women, which causes their menstrual periods",,,,,,,,,,,,,,
,,,,,"to become less frequent and eventually stop before age 40. Primary ovarian",,,,,,,,,,,,,,
,,,,,"insufficiency can lead to difficulty conceiving a child (subfertility) or a",,,,,,,,,,,,,,
,,,,,"complete inability to conceive (infertility).",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
191,"Bloom syndrome",https://ghr.nlm.nih.gov/condition/bloom-syndrome,"Bloom syndrome is a rare disorder. Only a few hundred affected individuals",html:p,"Bloom syndrome is an inherited disorder characterized by short stature, a skin",ar,"autosomal recessive",,BLM,https://ghr.nlm.nih.gov/gene/BLM,"Bloom-Torre-Machacek syndrome",db,key,2015-04,2017-12-29,,,,
,布盧姆綜合徵,,"have been described in the medical literature, about one-third of whom are of",,"rash that develops after exposure to the sun, and a greatly increased risk of",,,,,,"Bloom's syndrome",GTR,C0005859,,,,,,
,,,"Central and Eastern European (Ashkenazi) Jewish background.",,cancer.,,,,,,"congenital telangiectatic erythema",db,key,,,,,,
,,,,html:p,"People with Bloom syndrome are usually smaller than 97 percent of the population",,,,,,,GeneReviews,bloom,,,,,,
,,,,,"in both height and weight from birth, and they rarely exceed 5 feet tall in",,,,,,,db,key,,,,,,
,,,,,adulthood.,,,,,,,MeSH,D001816,,,,,,
,,,,html:p,"Affected individuals have skin that is sensitive to sun exposure, and they",,,,,,,db,key,,,,,,
,,,,,"usually develop a butterfly-shaped patch of reddened skin across the nose and",,,,,,,OMIM,210900,,,,,,
,,,,,"cheeks. A skin rash can also appear on other areas that are typically exposed to",,,,,,,db,key,,,,,,
,,,,,"the sun, such as the back of the hands and the forearms. Small clusters of",,,,,,,Orphanet,125,,,,,,
,,,,,"enlarged blood vessels (telangiectases) often appear in the rash; telangiectases",,,,,,,db,key,,,,,,
,,,,,"can also occur in the eyes. Other skin features include patches of skin that",,,,,,,"SNOMED CT",4434006,,,,,,
,,,,,"are lighter or darker than the surrounding areas (hypopigmentation or",,,,,,,,,,,,,,
,,,,,"hyperpigmentation respectively). These patches appear on areas of the skin that",,,,,,,,,,,,,,
,,,,,"are not exposed to the sun, and their development is not related to the rashes.",,,,,,,,,,,,,,
,,,,html:p,"People with Bloom syndrome have an increased risk of cancer. They can develop",,,,,,,,,,,,,,
,,,,,"any type of cancer, but the cancers arise earlier in life than they do in the",,,,,,,,,,,,,,
,,,,,"general population, and affected individuals often develop more than one type of",,,,,,,,,,,,,,
,,,,,cancer.,,,,,,,,,,,,,,
,,,,html:p,"Individuals with Bloom syndrome have a high-pitched voice and distinctive facial",,,,,,,,,,,,,,
,,,,,"features including a long, narrow face; a small lower jaw; and prominent nose",,,,,,,,,,,,,,
,,,,,"and ears. Other features can include learning disabilities, an increased risk of",,,,,,,,,,,,,,
,,,,,"diabetes, chronic obstructive pulmonary disease (COPD), and mild immune system",,,,,,,,,,,,,,
,,,,,"abnormalities leading to recurrent infections of the upper respiratory tract,",,,,,,,,,,,,,,
,,,,,"ears, and lungs during infancy. Men with Bloom syndrome usually do not produce",,,,,,,,,,,,,,
,,,,,"sperm and as a result are unable to father children (infertile). Women with the",,,,,,,,,,,,,,
,,,,,"disorder generally have reduced fertility and experience menopause at an earlier",,,,,,,,,,,,,,
,,,,,"age than usual.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
192,"Bohring-Opitz syndrome",https://ghr.nlm.nih.gov/condition/bohring-opitz-syndrome,"Bohring-Opitz syndrome is thought to be a rare condition, although its",html:p,"Bohring-Opitz syndrome is a rare condition that affects the development of many",ad,"autosomal dominant",,ASXL1,https://ghr.nlm.nih.gov/gene/ASXL1,"Bohring syndrome",db,key,2016-12,2017-12-29,,,,
,,,"exact prevalence is unknown. More than 40 affected individuals have been",,"parts of the body.",,,,,,BOPS,GTR,C0796232,,,,,,
,,,"described in the scientific literature.",html:p,"People with Bohring-Opitz syndrome have abnormal development of the head. They",,,,,,"C-like syndrome",db,key,,,,,,
,,,,,"often have a small head size (microcephaly) and a skull abnormality called",,,,,,"Oberklaid-Danks syndrome",MeSH,D003398,,,,,,
,,,,,"trigonocephaly, which gives the forehead a pointed appearance. Brain",,,,,,"Opitz trigonocephaly-like syndrome",db,key,,,,,,
,,,,,"abnormalities result in profound to severe intellectual disability and",,,,,,,MeSH,D008607,,,,,,
,,,,,"developmental delay in affected individuals. Many people with this condition",,,,,,,db,key,,,,,,
,,,,,"experience seizures.",,,,,,,OMIM,605039,,,,,,
,,,,html:p,"Characteristic eye problems occur in people with Bohring-Opitz syndrome. They",,,,,,,db,key,,,,,,
,,,,,"may have protruding eyes (exophthalmos), eyes that do not point in the same",,,,,,,Orphanet,97297,,,,,,
,,,,,"direction (strabismus), widely spaced eyes (hypertelorism), or outside corners",,,,,,,db,key,,,,,,
,,,,,"of the eyes that point upward (upslanting palpebral fissures). Affected",,,,,,,"SNOMED CT",720565000,,,,,,
,,,,,"individuals may have nearsightedness (myopia) or abnormalities in the",,,,,,,,,,,,,,
,,,,,"light-sensitive tissue at the back of the eye (the retina) or the nerves that",,,,,,,,,,,,,,
,,,,,"carry information from the eyes to the brain (optic nerves), which can impair",,,,,,,,,,,,,,
,,,,,vision.,,,,,,,,,,,,,,
,,,,html:p,"Additional facial features of Bohring-Opitz syndrome can include a flat nasal",,,,,,,,,,,,,,
,,,,,"bridge, nostrils that open to the front rather than downward (anteverted nares),",,,,,,,,,,,,,,
,,,,,"a high arch or opening in the roof of the mouth (high arched or cleft palate),",,,,,,,,,,,,,,
,,,,,"a small lower jaw (micrognathia), low-set ears that are rotated backward, a red",,,,,,,,,,,,,,
,,,,,"birthmark called a port-wine stain on the forehead, and a low frontal hairline",,,,,,,,,,,,,,
,,,,,"with excessive facial hair (hirsutism).",,,,,,,,,,,,,,
,,,,html:p,"Individuals with Bohring-Opitz syndrome have poor growth before birth",,,,,,,,,,,,,,
,,,,,"(intrauterine growth retardation). During infancy they experience a failure to",,,,,,,,,,,,,,
,,,,,"gain weight and grow at the expected rate (failure to thrive) and often have",,,,,,,,,,,,,,
,,,,,"feeding difficulties.",,,,,,,,,,,,,,
,,,,html:p,"People with this condition often have characteristic positioning of the upper",,,,,,,,,,,,,,
,,,,,"body, known as Bohring-Opitz syndrome posture. This posture consists of",,,,,,,,,,,,,,
,,,,,"slouching shoulders, permanently bent elbows and wrists, and a hand deformity in",,,,,,,,,,,,,,
,,,,,"which the wrist or all of the fingers are angled outward toward the fifth",,,,,,,,,,,,,,
,,,,,"finger (ulnar deviation). Joint deformities called contractures in the knees,",,,,,,,,,,,,,,
,,,,,"hips, or other joints that are apparent at birth and abnormal muscle tone may",,,,,,,,,,,,,,
,,,,,"also occur in this condition. Affected individuals can have recurrent infections",,,,,,,,,,,,,,
,,,,,"and heart, kidney, or genital abnormalities. In rare cases, a childhood form of",,,,,,,,,,,,,,
,,,,,"kidney cancer known as Wilms tumor can develop.",,,,,,,,,,,,,,
,,,,html:p,"Some individuals with Bohring-Opitz syndrome do not survive past early",,,,,,,,,,,,,,
,,,,,"childhood, while others live into adolescence or early adulthood. The most",,,,,,,,,,,,,,
,,,,,"common causes of death are recurrent episodes of an abnormally slow heartbeat",,,,,,,,,,,,,,
,,,,,"(bradycardia), which eventually leads to a fatal lack of oxygen in the body's",,,,,,,,,,,,,,
,,,,,"organs and tissues; abnormalities of the throat and airways that cause short",,,,,,,,,,,,,,
,,,,,"pauses in breathing (obstructive apnea); and lung infections.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
193,"Boomerang dysplasia",https://ghr.nlm.nih.gov/condition/boomerang-dysplasia,"Boomerang dysplasia is a rare disorder; its exact prevalence is unknown.",html:p,"Boomerang dysplasia is a disorder that affects the development of bones",ad,"autosomal dominant",,FLNB,https://ghr.nlm.nih.gov/gene/FLNB,"Piepkorn dysplasia",db,key,2011-09,2017-12-29,,,,
,迴旋鏢發育不良,,"Approximately 10 affected individuals have been identified.",,"throughout the body. Affected individuals are born with inward- and",,,,,,,GTR,C0432201,,,,,,
,,,,,"upward-turning feet (clubfeet) and dislocations of the hips, knees, and elbows.",,,,,,,db,key,,,,,,
,,,,,"Bones in the spine, rib cage, pelvis, and limbs may be underdeveloped or in some",,,,,,,GeneReviews,flnb-dis,,,,,,
,,,,,"cases absent. As a result of the limb bone abnormalities, individuals with this",,,,,,,db,key,,,,,,
,,,,,"condition have very short arms and legs. Pronounced bowing of the upper leg",,,,,,,MeSH,D010009,,,,,,
,,,,,"bones (femurs) gives them a ""boomerang"" shape.",,,,,,,db,key,,,,,,
,,,,html:p,"Some individuals with boomerang dysplasia have a sac-like protrusion of the",,,,,,,OMIM,112310,,,,,,
,,,,,"brain (encephalocele). They may also have an opening in the wall of the abdomen",,,,,,,db,key,,,,,,
,,,,,"(an omphalocele) that allows the abdominal organs to protrude through the navel.",,,,,,,Orphanet,1263,,,,,,
,,,,,"Affected individuals typically have a distinctive nose that is broad with very",,,,,,,db,key,,,,,,
,,,,,"small nostrils and an underdeveloped partition between the nostrils (septum).",,,,,,,"SNOMED CT",254054000,,,,,,
,,,,html:p,"Individuals with boomerang dysplasia typically have an underdeveloped rib cage",,,,,,,,,,,,,,
,,,,,"that affects the development and functioning of the lungs. As a result, affected",,,,,,,,,,,,,,
